date,broker_code,participant_type,net_value,buy_value,sell_value,frequency
2026-08-05,IF,Lokal,138509316500.0,139084912500.0,575596000.0,3523.0
2026-08-05,YP,Asing,62389669000.0,87595484000.0,25205815000.0,8659.0
2026-08-05,CC,Pemerintah,49901177000.0,115195700000.0,65294523000.0,26182.0
2026-08-05,KZ,Asing,33308229500.0,109447417000.0,76139187500.0,7652.0
2026-08-05,LG,Lokal,30990023500.0,45180125500.0,14190102000.0,2719.0
2026-08-05,DX,Pemerintah,26879858500.0,37133045500.0,10253187000.0,2820.0
2026-08-05,AG,Asing,26546211000.0,27505591000.0,959380000.0,1239.0
2026-08-05,SQ,Lokal,22295886000.0,70115590500.0,47819704500.0,7018.0
2026-08-05,ZP,Asing,20682873500.0,187092260500.0,166409387000.0,19697.0
2026-08-05,NI,Pemerintah,15679274500.0,23450342500.0,7771068000.0,4542.0
2026-08-05,OD,Pemerintah,15082038500.0,24654915500.0,9572877000.0,5125.0
2026-08-05,GR,Lokal,10612330000.0,12597159000.0,1984829000.0,1245.0
2026-08-05,XA,Asing,10588594000.0,10752667000.0,164073000.0,1121.0
2026-08-05,HD,Asing,4218506500.0,6265742000.0,2047235500.0,879.0
2026-08-05,SH,Lokal,4123402500.0,4675760000.0,552357500.0,171.0
2026-08-05,KK,Asing,3503476000.0,8141380000.0,4637904000.0,1988.0
2026-08-05,IH,Lokal,3459190000.0,3490195000.0,31005000.0,42.0
2026-08-05,HP,Lokal,2850856500.0,15332749500.0,12481893000.0,585.0
2026-08-05,PP,Lokal,2525721000.0,2525721000.0,0.0,21.0
2026-08-05,LS,Asing,2515600500.0,2925852500.0,410252000.0,310.0
2026-08-05,EP,Lokal,2502371000.0,7399580000.0,4897209000.0,1462.0
2026-08-05,IN,Lokal,2376291000.0,2380291000.0,4000000.0,37.0
2026-08-05,KI,Lokal,1902098000.0,3958778500.0,2056680500.0,380.0
2026-08-05,YB,Lokal,1786931500.0,3659256500.0,1872325000.0,1335.0
2026-08-05,TP,Asing,1325983500.0,7691507000.0,6365523500.0,1205.0
2026-08-05,RO,Lokal,1010309000.0,1800838500.0,790529500.0,510.0
2026-08-05,RF,Lokal,1005651000.0,3022221000.0,2016570000.0,198.0
2026-08-05,BQ,Asing,845451000.0,7126047500.0,6280596500.0,1008.0
2026-08-05,RG,Lokal,640688500.0,738186500.0,97498000.0,61.0
2026-08-05,ES,Lokal,558948000.0,621600000.0,62652000.0,42.0
2026-08-05,PC,Lokal,515117500.0,562078000.0,46960500.0,33.0
2026-08-05,QA,Lokal,430770000.0,489796000.0,59026000.0,123.0
2026-08-05,ZR,Lokal,372019500.0,658359500.0,286340000.0,22.0
2026-08-05,MG,Lokal,274441500.0,1341256500.0,1066815000.0,493.0
2026-08-05,DP,Asing,239569000.0,239569000.0,0.0,36.0
