date,ticker,bandar_signal,bandar_signal_score,foreign_net_broker,local_net_broker,gov_net_broker,foreign_net_flow,domestic_net_flow,total_value,foreign_signal,conclusion_broker,conclusion_flow,fetched_at,foreign_net_pct,local_net_pct
2026-08-05,ANTM,STRONG_ACCUMULATION,2.0,153816610000.0,-138732810000.0,-15083800000.0,180554367000.0,-180554367000.0,600666961260.0,ACCUMULATION,"Large players (top 5 brokers) are flagged as strong accumulation (Rp 96.64 M, 40.5% of traded value). Foreign flow is net buying Rp 153.82 M today; local flow is -Rp 138.73 M. 13 buying brokers versus 61 selling brokers.",Foreign flow is net buying (foreign accumulation) Rp 180.55 M (+30.1% of traded value Rp 600.67 M); domestic net flow is -Rp 180.55 M.,2026-08-05T20:07:23.826302+00:00,25.61,-23.1
2026-08-05,ASII,DISTRIBUTION,-1.0,-64096157500.0,54712295000.0,9383862500.0,-84948190200.0,84948190200.0,250950411922.0,DISTRIBUTION,"Large players (top 5 brokers) are flagged as distribution (-Rp 22.96 M, -16.7% of traded value). Foreign flow is net selling Rp 64.10 M today; local flow is Rp 54.71 M. 42 buying brokers versus 13 selling brokers.",Foreign flow is net selling (foreign distribution) Rp 84.95 M (-33.9% of traded value Rp 250.95 M); domestic net flow is Rp 84.95 M.,2026-08-05T20:07:23.826302+00:00,-25.54,21.8
2026-08-05,BBCA,ACCUMULATION,1.0,-97868110000.0,8896030000.0,88972080000.0,-34532655375.0,34532655375.0,820998988900.0,NET_SELL,"Large players (top 5 brokers) are flagged as accumulation (Rp 31.25 M, 12.1% of traded value). Foreign flow is net selling Rp 97.87 M today; local flow is Rp 8.90 M. 33 buying brokers versus 29 selling brokers.",Foreign flow is net selling (foreign distribution) Rp 34.53 M (-4.2% of traded value Rp 821.00 M); domestic net flow is Rp 34.53 M.,2026-08-05T20:07:23.826302+00:00,-11.92,1.08
2026-08-05,BBNI,ACCUMULATION,1.0,-35445079000.0,2626916000.0,32818163000.0,-22238069600.0,22238069600.0,148503465140.0,DISTRIBUTION,"Large players (top 5 brokers) are flagged as accumulation (Rp 6.02 M, 9.4% of traded value). Foreign flow is net selling Rp 35.45 M today; local flow is Rp 2.63 M. 33 buying brokers versus 26 selling brokers.",Foreign flow is net selling (foreign distribution) Rp 22.24 M (-15.0% of traded value Rp 148.50 M); domestic net flow is Rp 22.24 M.,2026-08-05T20:07:23.826302+00:00,-23.87,1.77
2026-08-05,BBRI,STRONG_DISTRIBUTION,-2.0,-31234691000.0,52067296000.0,-20832605000.0,-84411937080.0,84411937080.0,345469442560.0,DISTRIBUTION,"Large players (top 5 brokers) are flagged as strong distribution (-Rp 44.89 M, -29.9% of traded value). Foreign flow is net selling Rp 31.23 M today; local flow is Rp 52.07 M. 49 buying brokers versus 13 selling brokers.",Foreign flow is net selling (foreign distribution) Rp 84.41 M (-24.4% of traded value Rp 345.47 M); domestic net flow is Rp 84.41 M.,2026-08-05T20:07:23.826302+00:00,-9.04,15.07
2026-08-05,BMRI,ACCUMULATION,1.0,8094831000.0,16415774000.0,-24510605000.0,-5627614860.0,5627614860.0,552239627040.0,NET_SELL,"Large players (top 5 brokers) are flagged as accumulation (Rp 2.40 M, 1.0% of traded value). Foreign flow is net buying Rp 8.09 M today; local flow is Rp 16.42 M. 38 buying brokers versus 24 selling brokers.",Foreign flow is net selling (foreign distribution) Rp 5.63 M (-1.0% of traded value Rp 552.24 M); domestic net flow is Rp 5.63 M.,2026-08-05T20:07:23.826302+00:00,1.47,2.97
2026-08-05,BREN,NEUTRAL,0.0,-91473571000.0,98479336000.0,-7005765000.0,14017566580.0,-14017566580.0,241322114580.0,ACCUMULATION,"Large players (top 5 brokers) are flagged as neutral (-Rp 165.99 Jt, -0.1% of traded value). Foreign flow is net selling Rp 91.47 M today; local flow is Rp 98.48 M. 26 buying brokers versus 27 selling brokers.",Foreign flow is net buying (foreign accumulation) Rp 14.02 M (+5.8% of traded value Rp 241.32 M); domestic net flow is -Rp 14.02 M.,2026-08-05T20:07:23.826302+00:00,-37.91,40.81
2026-08-05,GOTO,STRONG_ACCUMULATION,2.0,1556215000.0,-1867370000.0,311155000.0,-16504480406.0,16504480406.0,47177506782.0,DISTRIBUTION,"Large players (top 5 brokers) are flagged as strong accumulation (Rp 1.12 M, 21.5% of traded value). Foreign flow is net buying Rp 1.56 M today; local flow is -Rp 1.87 M. 35 buying brokers versus 13 selling brokers.",Foreign flow is net selling (foreign distribution) Rp 16.50 M (-35.0% of traded value Rp 47.18 M); domestic net flow is Rp 16.50 M.,2026-08-05T20:07:23.826302+00:00,3.3,-3.96
2026-08-05,TLKM,STRONG_DISTRIBUTION,-2.0,-73746321000.0,47903299000.0,25843022000.0,-157927318020.0,157927318020.0,336066120260.0,DISTRIBUTION,"Large players (top 5 brokers) are flagged as strong distribution (-Rp 34.36 M, -24.1% of traded value). Foreign flow is net selling Rp 73.75 M today; local flow is Rp 47.90 M. 53 buying brokers versus 8 selling brokers.",Foreign flow is net selling (foreign distribution) Rp 157.93 M (-47.0% of traded value Rp 336.07 M); domestic net flow is Rp 157.93 M.,2026-08-05T20:07:23.826302+00:00,-21.94,14.25
2026-08-05,UNVR,STRONG_ACCUMULATION,2.0,-4088408000.0,-13558433000.0,17646841000.0,-2778266500.0,2778266500.0,47303116360.0,DISTRIBUTION,"Large players (top 5 brokers) are flagged as strong accumulation (Rp 4.83 M, 16.1% of traded value). Foreign flow is net selling Rp 4.09 M today; local flow is -Rp 13.56 M. 19 buying brokers versus 38 selling brokers.",Foreign flow is net selling (foreign distribution) Rp 2.78 M (-5.9% of traded value Rp 47.30 M); domestic net flow is Rp 2.78 M.,2026-08-05T20:07:23.826302+00:00,-8.64,-28.66
